timestamp,time,uptime,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7,CPU8,RAM,SWAP,EMC,GPU,APE,DLA0_CORE,DLA0_FALCON,DLA1_CORE,DLA1_FALCON,NVDEC,NVENC,NVJPG,NVJPG1,OFA,PVA0_CPU_AXI,PVA0_VPS,SE,VIC,Fan pwmfan0,Temp cpu,Temp cv0,Temp cv1,Temp cv2,Temp gpu,Temp iwlwifi,Temp soc0,Temp soc1,Temp soc2,Temp tj,Power VDDQ_VDD2_1V8AO,Power VDD_CPU_CV,Power VDD_GPU_SOC,Power VIN_SYS_5V0,Power TOT,jetson_clocks,nvp model
1762961560.8002956,2025-11-12 15:32:40.800118,0:21:27.240000,58,65,64,81,74,71,64,66,0.31685324973678847,0.0,0,45.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,63.25,-256,-256,-256,56.718,38.0,57.093,58.312,57.156,63.25,1697,6571,6133,5699,20100,ON,MAXN
1762961561.8013854,2025-11-12 15:32:41.801216,0:21:28.240000,67,58,60,57,60,66,70,67,0.31622681008991566,0.0,0,57.7,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,63.062,-256,-256,-256,56.656,40.0,57.093,58.375,57.125,63.093,1697,6133,6133,5600,19563,ON,MAXN
1762961562.8028274,2025-11-12 15:32:42.802653,0:21:29.240000,66,59,61,63,75,72,66,67,0.3149992530569313,0.0,0,49.2,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,62.812,-256,-256,-256,56.75,39.0,57.312,58.312,57.281,62.812,1697,6133,5914,5600,19344,ON,MAXN
1762961563.8036466,2025-11-12 15:32:43.803478,0:21:30.240000,59,52,68,61,69,58,69,62,0.3150292834767286,0.0,0,33.8,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,63.218,-256,-256,-256,57.156,38.0,57.312,58.281,57.218,63.093,1697,6133,5914,5600,19344,ON,MAXN
1762961564.8051455,2025-11-12 15:32:44.804928,0:21:31.240000,75,60,67,77,60,59,73,69,0.31506974819493,0.0,0,66.6,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,63.218,-256,-256,-256,56.937,40.0,57.312,58.281,57.312,62.937,1697,6133,6133,5600,19563,ON,MAXN
1762961565.8083274,2025-11-12 15:32:45.808139,0:21:32.240000,66,59,56,83,60,63,57,58,0.31559731650204653,0.0,0,61.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,62.75,-256,-256,-256,56.812,38.0,57.156,58.25,57.281,62.625,1597,5914,5914,5600,19025,ON,MAXN
1762961566.8094058,2025-11-12 15:32:46.809218,0:21:33.240000,67,58,67,68,76,66,60,72,0.3153650897387837,0.0,0,47.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,63.343,-256,-256,-256,57.156,38.0,57.281,58.531,57.281,63.343,1697,6352,5914,5600,19563,ON,MAXN
1762961567.8164473,2025-11-12 15:32:47.816261,0:21:34.240000,70,76,61,72,60,67,59,71,0.31536547148140825,0.0,0,55.9,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,63.437,-256,-256,-256,57.062,39.0,57.281,58.437,57.375,63.437,1697,6571,6133,5600,20001,ON,MAXN
1762961568.8174508,2025-11-12 15:32:48.817251,0:21:35.250000,62,62,71,81,64,65,65,63,0.3155643593887944,0.0,0,84.1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,63.062,-256,-256,-256,57.093,41.0,57.281,58.562,57.312,63.062,1697,6133,6133,5600,19563,ON,MAXN
1762961569.818955,2025-11-12 15:32:49.818762,0:21:36.250000,58,67,77,64,66,62,67,76,0.3152788159056373,0.0,0,44.2,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,63.656,-256,-256,-256,57.125,38.0,57.312,58.625,57.281,63.656,1697,6352,6133,5699,19881,ON,MAXN
1762961570.8204744,2025-11-12 15:32:50.820286,0:21:37.250000,56,66,60,64,53,54,83,68,0.3155497259215203,0.0,0,56.7,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,63.343,-256,-256,-256,56.968,41.0,57.343,58.5,57.343,63.343,1697,6133,5914,5600,19344,ON,MAXN
1762961571.8213706,2025-11-12 15:32:51.821212,0:21:38.250000,65,67,59,65,73,60,66,81,0.3154345668964503,0.0,0,38.5,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,63.593,-256,-256,-256,57.0,39.0,57.5,58.406,57.437,63.593,1697,6352,5914,5600,19563,ON,MAXN
1762961572.822808,2025-11-12 15:32:52.822618,0:21:39.250000,60,73,56,73,58,54,58,71,0.3155782293708194,0.0,0,69.5,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,63.656,-256,-256,-256,57.312,38.0,57.531,58.562,57.468,63.468,1697,6133,6133,5600,19563,ON,MAXN
1762961573.8243144,2025-11-12 15:32:53.824135,0:21:40.250000,57,64,64,85,65,80,65,64,0.3151223014295752,0.0,0,38.4,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,63.562,-256,-256,-256,57.375,39.0,57.468,58.593,57.562,63.437,1697,6352,6133,5699,19881,ON,MAXN
1762961574.8294103,2025-11-12 15:32:54.829222,0:21:41.250000,59,54,59,65,62,53,73,70,0.315358727361708,0.0,0,57.2,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,63.218,-256,-256,-256,57.031,38.0,57.531,58.531,57.468,63.562,1697,6133,5914,5699,19443,ON,MAXN
1762961575.8306632,2025-11-12 15:32:55.830493,0:21:42.250000,66,70,67,70,60,76,65,69,0.3155632141609208,0.0,0,47.9,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,63.75,-256,-256,-256,57.218,38.0,57.5,58.562,57.562,63.75,1697,6352,6133,5600,19782,ON,MAXN
1762961576.8321462,2025-11-12 15:32:56.831957,0:21:43.250000,55,54,66,65,59,59,69,86,0.31511428483445986,0.0,0,60.8,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,63.468,-256,-256,-256,57.125,42.0,57.531,58.781,57.562,63.468,1697,6352,6133,5600,19782,ON,MAXN
1762961577.8334455,2025-11-12 15:32:57.833245,0:21:44.250000,57,67,68,68,68,76,61,76,0.3150862903753268,0.0,0,55.3,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,63.156,-256,-256,-256,57.25,38.0,57.75,58.718,57.593,63.156,1697,6133,6133,5600,19563,ON,MAXN
1762961578.8349512,2025-11-12 15:32:58.834767,0:21:45.250000,77,66,56,59,79,59,65,58,0.31493155736484596,0.0,0,27.7,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,100.0,63.843,-256,-256,-256,57.093,38.0,57.531,58.812,57.656,63.843,1697,6352,5914,5600,19563,ON,MAXN
